timestamp,TP9_uV,AF7_uV,AF8_uV,TP10_uV
1772268234630,8.908086,337.332987,377.393632,22.353916
1772268234634,6.704817,437.794339,474.102488,20.886713
1772268234638,3.595033,330.401323,378.548177,24.251843
1772268234642,2.998031,235.428773,296.807489,27.802877
1772268234646,4.063971,287.223808,350.781214,26.247098
1772268234650,3.130469,377.053950,441.703312,21.968781
1772268234653,-0.944624,355.662670,430.156809,16.515535
1772268234657,-4.780386,231.490285,312.696522,11.231285
1772268234661,-1.549306,186.232847,260.028504,8.653211
1772268234665,8.293197,194.937329,269.989073,8.459345
1772268234669,14.065860,89.863083,193.475146,7.241442
1772268234673,13.044854,28.303826,143.949981,5.558760
1772268234677,12.193286,148.797255,234.224096,5.594175
1772268234681,14.083899,256.079957,316.654502,6.228931
1772268234685,16.660943,246.765065,308.393773,9.230688
1772268234689,17.722888,262.388460,321.734032,14.908955
1772268234692,17.303649,353.654393,400.068910,19.172435
1772268234696,17.520913,363.250822,407.871036,19.148656
1772268234700,16.924654,219.916970,282.439008,11.683413
1772268234704,13.347756,45.606938,124.368047,-1.171231
1772268234708,8.698705,-33.003774,44.516199,-9.965743
1772268234712,4.650132,3.276419,73.177645,-10.121698
1772268234716,1.213316,140.258420,195.233998,-10.617733
1772268234720,-2.588203,296.900518,326.111728,-21.892484
1772268234724,-7.282978,230.060417,247.585189,-20.882110
1772268234728,-9.017883,163.643906,195.539377,-13.607690
1772268234732,-10.481723,42.003377,96.122955,-9.980704
1772268234735,-12.397197,39.035060,85.498729,-10.016843
1772268234739,-13.756930,78.837155,105.691491,-10.150043
1772268234743,-15.269895,-24.856978,19.525643,-8.330922
1772268234747,-15.988695,-198.467866,-117.275504,-3.707233
1772268234751,-15.435399,-173.766109,-94.470565,-3.780837
1772268234755,-15.014036,-38.180976,12.418635,-11.615089
1772268234759,-16.082494,-68.822728,-24.558974,-18.106730
1772268234763,-16.691495,-136.959717,-91.606947,-13.359694
1772268234767,-15.493239,-26.428140,0.928054,-0.307384
1772268234724,-7.282978,230.060417,247.585189,-20.882110
1772268234728,-9.017883,163.643906,195.539377,-13.607690
1772268234732,-10.481723,42.003377,96.122955,-9.980704
1772268234735,-12.397197,39.035060,85.498729,-10.016843
1772268234739,-13.756930,78.837155,105.691491,-10.150043
1772268234743,-15.269895,-24.856978,19.525643,-8.330922
1772268234747,-15.988695,-198.467866,-117.275504,-3.707233
1772268234751,-15.435399,-173.766109,-94.470565,-3.780837
1772268234755,-15.014036,-38.180976,12.418635,-11.615089
1772268234759,-16.082494,-68.822728,-24.558974,-18.106730
1772268234763,-16.691495,-136.959717,-91.606947,-13.359694
1772268234767,-15.493239,-26.428140,0.928054,-0.307384
1772268234817,-5.763057,57.355426,46.265182,-5.861427
1772268234821,-5.650648,48.143836,38.759503,-5.370864
1772268234825,-7.879053,130.180236,106.735481,-6.601235
1772268234829,-9.636260,145.774518,118.664258,-6.645418
1772268234833,-9.632934,58.276268,52.951415,-5.406822
1772268234837,-7.973602,-38.619002,-21.874723,-6.071008
1772268234841,-8.723248,-47.350059,-31.119551,-11.548805
