timestamp,TP9_uV,AF7_uV,AF8_uV,TP10_uV
1772268122893,44.271425,-6.554690,-22.751584,11.631248
1772268122897,50.062744,29.920251,16.038173,20.210357
1772268122901,56.378700,45.660839,37.401132,23.780165
1772268122905,51.439219,104.049721,89.395598,16.033789
1772268122909,44.121557,175.541889,148.715018,9.312052
1772268122913,40.786980,141.059531,104.599621,10.304684
1772268122917,35.345847,-59.031970,-95.502644,5.522258
1772268122920,20.694932,-210.815638,-235.519803,-9.133277
1772268122924,5.569209,-129.080256,-122.394304,-11.147861
1772268122928,9.420258,33.845057,75.310903,9.135857
1772268122932,23.746730,95.132696,108.962443,24.971116
1772268122936,26.732511,-12.926161,-86.220019,9.381992
1772268122893,44.271425,-6.554690,-22.751584,11.631248
1772268122897,50.062744,29.920251,16.038173,20.210357
1772268122901,56.378700,45.660839,37.401132,23.780165
1772268122905,51.439219,104.049721,89.395598,16.033789
1772268122909,44.121557,175.541889,148.715018,9.312052
1772268122913,40.786980,141.059531,104.599621,10.304684
1772268122917,35.345847,-59.031970,-95.502644,5.522258
1772268122920,20.694932,-210.815638,-235.519803,-9.133277
1772268122924,5.569209,-129.080256,-122.394304,-11.147861
1772268122928,9.420258,33.845057,75.310903,9.135857
1772268122932,23.746730,95.132696,108.962443,24.971116
1772268122936,26.732511,-12.926161,-86.220019,9.381992
1772268122940,22.267845,156.327705,103.209951,9.262256
1772268122944,19.067447,132.863563,77.091927,4.510475
1772268122948,21.538238,113.550124,53.711768,4.776005
1772268122952,28.053287,80.495882,13.034977,7.288835
1772268122956,29.986888,35.574676,-21.011763,9.077290
1772268122960,26.737420,65.037438,34.702068,11.926691
1772268122963,22.109393,134.603151,110.812927,16.253931
1772268122967,23.361925,65.065950,8.619030,11.746746
1772268122971,27.292322,-194.151151,-276.915284,-3.227236
1772268122975,26.231257,-325.312316,-384.838238,-11.954361
1772268122979,22.203403,-20.214528,-37.715863,-0.432281
1772268122983,23.222433,375.781014,367.733750,22.528442
1772268122940,22.267845,156.327705,103.209951,9.262256
1772268122944,19.067447,132.863563,77.091927,4.510475
1772268122948,21.538238,113.550124,53.711768,4.776005
1772268122952,28.053287,80.495882,13.034977,7.288835
1772268122956,29.986888,35.574676,-21.011763,9.077290
1772268122960,26.737420,65.037438,34.702068,11.926691
1772268122963,22.109393,134.603151,110.812927,16.253931
1772268122967,23.361925,65.065950,8.619030,11.746746
1772268122971,27.292322,-194.151151,-276.915284,-3.227236
1772268122975,26.231257,-325.312316,-384.838238,-11.954361
1772268122979,22.203403,-20.214528,-37.715863,-0.432281
1772268122983,23.222433,375.781014,367.733750,22.528442
1772268122987,29.625445,110.301384,48.709578,7.598124
1772268122991,35.094808,119.362822,55.071001,12.065458
